ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-14,9635.651845467051,-3396.1762272639166,10352.845499590765,9635.651845467051,9635.651845467051,-6138.483620414386,-6138.483620414386,-6138.483620414386,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730309232,-34.10832730309232,-34.10832730309232,-3040.158000161606,-3040.158000161606,-3040.158000161606,0.0,0.0,0.0,3497.1682250526655
2018-10-15,9627.049373714368,-3337.028780143492,10687.043036769815,9627.049373714368,9627.049373714368,-5933.658570012667,-5933.658570012667,-5933.658570012667,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962926493,29.131018962926493,29.131018962926493,-2898.5722960259054,-2898.5722960259054,-2898.5722960259054,0.0,0.0,0.0,3693.390803701701
2018-10-16,9618.446901961686,-3732.4981257601944,9836.025417495688,9618.446901961686,9618.446901961686,-5843.306888084099,-5843.306888084099,-5843.306888084099,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557932969644,-26.220557932969644,-26.220557932969644,-2752.869037201442,-2752.869037201442,-2752.869037201442,0.0,0.0,0.0,3775.140013877587
2018-10-17,9609.844430209003,-3770.538039545844,10538.418270193659,9609.844430209003,9609.844430209003,-5591.02357240768,-5591.02357240768,-5591.02357240768,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752222346,76.84810752222346,76.84810752222346,-2603.654386980216,-2603.654386980216,-2603.654386980216,0.0,0.0,0.0,4018.8208578013227
2018-10-18,9601.241958456318,-3350.6393485996286,10764.125338365568,9601.241958456318,9601.241958456318,-5531.175938283389,-5531.175938283389,-5531.175938283389,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.36168091316082,-15.36168091316082,-15.36168091316082,-2451.5969644205406,-2451.5969644205406,-2451.5969644205406,0.0,0.0,0.0,4070.066020172929
2018-10-19,9592.639486703636,-2451.103146372066,11456.23133650806,9592.639486703636,9592.639486703636,-5373.909965941497,-5373.909965941497,-5373.909965941497,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.27360221206518,-12.27360221206518,-12.27360221206518,-2297.4190707797443,-2297.4190707797443,-2297.4190707797443,0.0,0.0,0.0,4218.729520762139
2018-10-20,9584.037014950953,-2592.356466823873,11382.158000105579,9584.037014950953,9584.037014950953,-5224.11805023985,-5224.11805023985,-5224.11805023985,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812369403,-18.01495812369403,-18.01495812369403,-2141.885799166469,-2141.885799166469,-2141.885799166469,0.0,0.0,0.0,4359.9189647111025
2018-10-21,9575.43454319827,-2289.6019157377195,11525.766801436,9575.43454319827,9575.43454319827,-5084.1179265180335,-5084.1179265180335,-5084.1179265180335,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730340943,-34.10832730340943,-34.10832730340943,-1985.792306264936,-1985.792306264936,-1985.792306264936,0.0,0.0,0.0,4491.316616680236
2018-10-22,9566.832071445586,-2511.2744803788114,11539.187182693608,9566.832071445586,9566.832071445586,-4865.035869505762,-4865.035869505762,-4865.035869505762,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962814718,29.131018962814718,29.131018962814718,-1829.9495955188895,-1829.9495955188895,-1829.9495955188895,0.0,0.0,0.0,4701.796201939824
2018-10-23,9558.229599692904,-2258.8578802804864,11652.044889414448,9558.229599692904,9558.229599692904,-4765.607071772635,-4765.607071772635,-4765.607071772635,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557932951387,-26.220557932951387,-26.220557932951387,-1675.1692208899965,-1675.1692208899965,-1675.1692208899965,0.0,0.0,0.0,4792.622527920269
2018-10-24,9549.627127940219,-2086.2731530122383,12091.390111310056,9549.627127940219,9549.627127940219,-4509.6165524580465,-4509.6165524580465,-4509.6165524580465,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752230952,76.84810752230952,76.84810752230952,-1522.2473670306695,-1522.2473670306695,-1522.2473670306695,0.0,0.0,0.0,5040.0105754821725
2018-10-25,9541.024656187537,-1997.6831305358533,12367.122600691408,9541.024656187537,9541.024656187537,-4451.527767615548,-4451.527767615548,-4451.527767615548,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.361680913364497,-15.361680913364497,-15.361680913364497,-1371.9487937524966,-1371.9487937524966,-1371.9487937524966,0.0,0.0,0.0,5089.496888571989
