ds,yhat,yhat_lower,yhat_upper
2022-09-14,15555.823318372006,7575.506492777484,23888.090506164855
2022-09-15,15295.767596340558,7301.762244691264,23549.36027341112
2022-09-16,15185.234124317258,6825.49926370128,23319.14645820903
2022-09-17,15080.246900747878,7107.301537533164,22896.358634380325
2022-09-18,14935.019713390127,7212.94383576509,23077.097233304077
2022-09-19,14936.506026925403,7135.535658783856,22755.78645947216
2022-09-20,14782.64834522548,6712.281259635538,22236.37417312297
2022-09-21,14865.352331138978,7021.843214437539,22818.62034032187
2022-09-22,14672.409790545202,6482.533943384298,22954.803207328485
2022-09-23,14630.512121162441,6758.381584203727,23025.608783583062
2022-09-24,14595.293773201885,6047.247712683291,22914.535455734458
2022-09-25,14520.618882412698,6090.7073535409145,22496.016809745135
2022-09-26,14593.133377976104,6431.965366930917,22115.815618405304
2022-09-27,14510.514230893808,6960.880117648947,22465.3002276454
2022-09-28,14664.441293185084,7095.982981625131,22889.11844688434
2022-09-29,14542.516085885582,6561.468129135956,22813.326852168102
2022-09-30,14571.269459257686,7110.330825712049,22894.825252829727
2022-10-01,14606.198052391528,6076.223826034162,22311.83442451306
2022-10-02,14601.043133578609,6695.966601459777,22209.688971963424
2022-10-03,14742.334567789336,6741.585957703635,22284.10541652178
2022-10-04,14727.63202543162,7023.85005801399,22688.56119717794
2022-10-05,14948.489317680614,6877.05649556089,22651.7785488694
2022-10-06,14892.366620130026,6630.001008635661,23078.034596103058
2022-10-07,14985.632864468507,6796.2087320167875,22969.795744896055
2022-10-08,15083.598519962112,7038.934775379599,23460.956015638043
2022-10-09,15139.792567038468,6836.550269896952,22755.09851116344
2022-10-10,15340.506547636183,7053.920316060442,23051.082419821196
2022-10-11,15383.03785639527,7120.556695717708,22913.091708846332
2022-10-12,15658.658117079991,7168.336297363502,23933.15881554601
2022-10-13,15654.531275372778,7396.790238224402,23648.63623470737
2022-10-14,15796.723472062187,7250.97199204213,24081.382005179432
2022-10-15,15940.24462548099,7849.439551573179,23800.522154866747
2022-10-16,16038.335166323632,7790.351777752358,24258.313816342852
2022-10-17,16277.020397644075,8074.024566146299,24877.16788242612
2022-10-18,16353.364195390644,8278.816001387751,24833.620180234288
2022-10-19,16658.44742562918,8866.645233271493,25313.682133543156
2022-10-20,16679.29524028758,8669.860457106777,24755.76475767005
2022-10-21,16841.894863794394,8100.017514396925,24856.166812018797
2022-10-22,17001.24338389431,9377.712147469607,24994.609163817087
2022-10-23,17110.63862768025,9312.241279386357,24999.826169197986
2022-10-24,17356.235302767353,9151.740173788705,25101.599797891355
2022-10-25,17435.297908854067,8826.922420665107,24819.357593082663
2022-10-26,17739.17567912516,9506.060091432528,25547.26770840304
2022-10-27,17755.223697668796,9932.705938173865,25974.788232390605
2022-10-28,17909.811894559316,9788.863617838746,25545.411649859663
2022-10-29,18058.361626401336,9962.75451825937,26234.229493254723
2022-10-30,18154.623219511814,10592.615774802043,26545.01314369744
2022-10-31,18385.21704606425,10421.563586130567,26536.6312212661
2022-11-01,18447.870112104407,10072.678583893154,26695.841712530833
2022-11-02,18734.373959567838,11012.711476677894,26987.404945154245
2022-11-03,18732.488622927638,10512.874984761658,26453.86267237618
2022-11-04,18868.93496895006,10622.075177027047,26399.22485063928
2022-11-05,18999.4157651439,10632.809691572094,27099.355586898353
2022-11-06,19077.879480674022,11080.510282397268,27026.192314278374
2022-11-07,19291.04998276809,11397.391791320279,27086.46667601762
2022-11-08,19336.654644196475,11204.952205502428,27118.012531976798
2022-11-09,19606.377123680628,11882.024127571414,27727.764139166567
2022-11-10,19587.759923653346,12262.074092042874,27707.579769232034
2022-11-11,19707.199305381626,11658.542575648988,27346.603184216165
2022-11-12,19819.97303327072,11343.015226941192,27470.01873930548
2022-11-13,19934.20037704607,12036.131351482114,28148.607717038285
2022-11-14,20181.33022059602,12485.514711002299,28235.058938546917
2022-11-15,20258.44383750335,11960.309460986578,28395.518345694632
2022-11-16,20556.543838264803,12504.819583928846,28556.900636344046
2022-11-17,20562.48100822248,12732.215540035337,27896.053363820272
2022-11-18,20701.975516956212,12451.134673178314,28499.36117166291
2022-11-19,20829.67220801693,12505.708440607525,28849.419064326612
2022-11-20,20898.443125539878,12245.271612364766,29151.040197584018
2022-11-21,21093.959402233257,13066.45338784515,29367.995530606833
2022-11-22,21112.963820466684,13028.446941979048,28906.886116795806
2022-11-23,21346.2689716112,13285.713023063674,30010.55708903435
2022-11-24,21280.704686301007,13543.220731477531,29867.69297095471
2022-11-25,21342.15583103287,13687.295626541405,29613.92653739187
2022-11-26,21385.629450922326,13423.007706472492,29535.046155580465
2022-11-27,21364.563801824468,13340.990274479738,29874.024662058157
2022-11-28,21465.40092203058,13495.70618050712,28996.635853199445
2022-11-29,21385.8537399057,12653.521780193714,28649.17837094857
2022-11-30,21517.89250166203,13529.951780677377,29865.122913122585
2022-12-01,21349.674235971255,13297.41965068208,29478.56136276013
2022-12-02,21308.556585148857,12723.723554903714,28954.307181160613
2022-12-03,21251.13540692277,12821.95606777133,29591.54039802468
2022-12-04,21132.519297863848,12987.14033091803,29175.174632072303
2022-12-05,21140.86346828543,13132.846351763546,29279.044665023193
2022-12-06,20975.59489881476,12592.57765555327,29618.330194793136
2022-12-07,21030.354628228157,12571.574093444198,28695.087999149204
2022-12-08,20794.882058956384,12502.791085082936,29200.3056569839
2022-12-09,20697.983852842215,12699.637444953907,28649.363199563522
2022-12-10,20597.52810288754,12557.48370098236,28497.159636591216
2022-12-11,20449.67821633884,12480.101180830443,28645.77873700307
2022-12-12,20443.390188265155,12290.6691684694,28555.3479488504
2022-12-13,20278.606372829094,12626.096845295537,28555.456778504606
2022-12-14,20349.17267011587,12353.43949075022,28221.836022280422
2022-12-15,20144.704940405372,11359.994755951686,27788.79451084599
2022-12-16,20093.54797021258,12303.7336453643,28312.44324288645
2022-12-17,20052.768227339948,11862.387072929434,28155.03434374425
